BoatName,BoatID,Day,Kg,Duration,Temperature,temperature,chlor_a,geometry
Korbin,113,2020-03-11,10910,12,11.6,13.68083999999999,1.12,POINT (84 237)
Korbin,113,2020-03-12,1046,12,12.1,13.283157000000017,1.18,POINT (84 237)
Korbin,113,2020-03-13,3764,12,11.8,15.805811000000006,1.18,POINT (84 238)
Korbin,113,2020-03-14,1464,12,10.9,13.120439499999975,1.78,POINT (84 238)
Korbin,113,2020-03-15,5597,12,11.8,10.877950000000055,1.04,POINT (84 238)
Korbin,113,2020-03-16,1427,12,11.9,11.095450000000028,1.35,POINT (84 238)
Korbin,113,2020-03-17,9668,12,11.6,13.326519000000019,1.58,POINT (84 238)
Korbin,113,2020-03-18,5387,12,11.8,11.310775000000035,2.06,POINT (85 238)
Korbin,113,2020-03-19,8672,12,11.3,13.649452500000052,2.23,POINT (85 238)
Korbin,113,2020-03-20,1796,12,11.9,13.278937499999984,1.03,POINT (84 238)
Korbin,113,2020-03-21,5535,12,11.8,13.048122000000035,1.35,POINT (84 238)
Korbin,113,2020-03-22,5474,12,11.6,15.787162500000022,1.08,POINT (83 238)
Korbin,113,2020-03-23,19422,12,11.7,10.749510000000043,1.07,POINT (83 238)
Korbin,113,2020-03-24,2854,12,11.6,10.814050000000066,1.17,POINT (83 238)
Korbin,113,2020-03-25,1451,12,11.7,11.342520000000036,1.05,POINT (83 238)
Korbin,113,2020-03-26,824,12,11.6,11.23784999999998,1.65,POINT (84 238)
Korbin,113,2020-03-27,1661,12,11.7,10.696140000000014,1.13,POINT (83 238)
Korbin,113,2020-03-28,1169,12,11.6,15.61545250000006,1.06,POINT (83 238)
Korbin,113,2020-03-29,4379,12,12.5,11.847264999999993,1.48,POINT (91 240)
Korbin,113,2020-03-30,4133,12,12.8,12.058060000000069,1.83,POINT (91 240)
Korbin,113,2020-03-31,590,12,12.9,12.155545000000018,1.05,POINT (91 240)
